,death
225335,1
76758,0
19476,1
48834,0
98761,0
104351,1
84619,0
77039,0
32913,0
147554,0
65193,0
215296,0
183464,1
164169,1
1489,0
121586,0
116456,0
98623,1
47645,0
54365,0
114261,1
5913,0
65078,0
5654,0
129613,1
228052,0
104201,0
146080,0
80187,1
7351,0
123595,0
231501,0
44446,0
193416,1
158295,1
7471,1
198505,0
209624,0
117385,1
119095,0
94013,0
74853,0
193125,0
109544,0
6084,1
152867,1
26280,0
94050,0
15529,0
1038,0
190669,1
136413,1
22036,0
9555,0
1580,0
3290,1
51312,0
77644,0
58696,0
70576,0
105389,0
152066,1
162199,0
197052,1
51445,0
229512,1
69197,0
33980,0
100301,1
53272,0
134424,0
53913,0
236361,0
75450,1
193054,0
89960,0
5387,0
129124,0
192998,1
155010,0
173894,0
221029,0
154246,0
7203,0
21298,1
180030,1
144735,0
161413,0
159457,0
18925,1
172720,1
64050,0
42526,0
158108,0
60030,0
188844,0
213470,0
161212,0
101770,1
31772,0
59169,0
28361,0
208104,1
20761,1
234780,0
72005,0
122080,0
108345,1
97227,0
71961,0
1231,0
51421,0
69891,0
138357,0
7355,0
87590,0
202242,0
210174,0
190719,0
149749,0
315,1
84904,0
11734,0
109465,0
19382,0
8540,0
177454,0
8505,0
139128,1
43649,0
31635,0
64307,0
88232,0
122208,0
47180,0
59686,1
36429,0
45595,0
108350,1
84298,0
87228,0
28295,1
70471,0
36793,1
107076,0
206713,0
1544,0
217906,0
138638,1
212483,1
51378,0
228684,0
238650,0
165588,1
113647,0
135915,0
193616,1
201562,1
166904,0
69636,0
58816,0
187553,0
72959,0
200442,0
35378,1
21496,0
28149,1
121753,0
178239,0
52129,0
181242,0
119773,1
237553,0
18689,0
198911,1
112481,0
85515,0
119425,0
198197,0
7748,1
112208,0
71469,1
206655,0
181843,0
28067,1
109332,1
183540,1
31608,1
184676,1
200180,0
15677,1
164135,0
7079,0
216427,0
75364,0
156780,0
188739,1
9500,0
95099,0
111739,0
164283,1
30370,0
141657,1
62648,0
111568,0
201028,1
227238,0
42134,0
227113,0
14575,1
186450,1
53195,0
35020,0
50540,0
112896,1
201840,0
92879,0
193632,0
132995,0
97592,0
95234,0
66705,1
36992,0
152769,1
53927,0
51758,0
174837,0
12732,1
150766,0
133973,0
43513,0
226017,0
145619,0
123018,0
212493,0
106464,0
210812,0
60536,0
103052,1
129836,1
141965,0
232636,0
136550,0
238564,1
28700,0
7761,1
17564,0
26288,0
89019,0
72559,0
218376,1
104098,0
198824,1
48825,0
36555,0
205007,0
66393,1
234864,0
56741,1
205430,0
173377,0
10298,1
81277,0
173910,0
44572,1
218687,0
35111,0
133924,0
134120,0
34586,0
198248,0
118294,0
52145,1
224054,0
33647,0
36505,1
137960,1
233403,0
166695,0
12566,0
562,1
12363,0
134110,0
158488,0
115310,0
55440,0
79028,1
173712,0
5079,1
57460,1
232765,0
40283,0
